"Arbeidsledighet",,,,,
,,,,,
,,,,,
"Variabler i filter",,,,,
"Alder, 15-29 år",,,,,
"andel (prosent)",,,,,
,,,,,
"År","2009","2010","2011","2012","2013"
"Geografi","aar2009","aar2010","aar2011","aar2012","aar2013"
"Sande (Vestfold)",2.4,2.9,2.3,2.5,2.3
"Hof",2.3,1.9,2.5,2.7,2
"Re",2.9,3.4,2.8,2.3,1.9
"Andebu",2.6,2.4,2.4,2.3,2.5
"Stokke",2.4,2.1,2.4,2.6,2.3
"Nøtterøy",2.1,1.9,1.9,1.8,2.3
"Tjøme",3.4,2.4,2.5,2.1,1.9
"Lardal",1.6,2.5,2.1,2.6,2.3
"Porsgrunn",3.4,3.3,3.7,3.9,3.4
"Skien",3.8,3.9,3.8,3.3,3.4
"Notodden",3.2,3.3,2.6,2.6,3.5
"Siljan",3.2,2.8,2.6,2.8,2
"Bamble",3.2,3.2,3.2,3.4,3.2
"Kragerø",2.8,3.2,2.2,2.8,2.9
"Drangedal",3.2,3.2,2.7,3.2,2.6
"Nome",3.1,3.1,2.7,2.8,3
"Bø (Telemark)",2.8,2.4,2.2,2.2,2.3
"Sauherad",2.6,2.9,2.6,2.8,2
"Tinn",2.2,2.8,2.6,2.1,1.9
"Hjartdal",2.7,2.6,1.7,1.4,1.7
"Seljord",2,2.4,2.7,1.7,2.1
"Kviteseid",2.6,3.3,3,2.3,2.5
"Nissedal",1.9,2,1.6,1.2,1.9
"Fyresdal",1.7,1.6,1.6,1.6,1.6
"Tokke",2.3,2.3,2.7,1.5,1.5
"Vinje",2,2.1,1.7,1.3,1
"Risør",2.9,3.9,3.1,2.9,2.6
"Grimstad",2.3,2.7,2.5,2.3,2.6
"Arendal",3.3,3.9,3.8,3.7,3.8
"Gjerstad",3.5,3.1,3.6,2.7,2.5
"Vegårshei",2.3,2.3,1.5,1.4,2.5
"Tvedestrand",3.7,3.2,3.2,2.3,2.7
"Froland",3.6,4.3,4.8,3.5,4.6
"Lillesand",2.6,2.8,2.1,1.8,2.4
"Birkenes",2.4,2.7,2.3,2.4,2.1
"Åmli",1.3,1,2.2,2.4,1.9
"Iveland",2.9,2.7,2.1,2.1,2.1
"Evje og Hornnes",3.4,3,2.8,2.1,2.8
"Bygland",2.1,2.7,1.1,1.6,1.5
"Valle",1.4,2.2,1.7,0.8,1.3
"Bykle",1.5,1.4,1.5,2.5,2.5
"Kristiansand",2.4,2.6,2.5,2.7,2.9
"Mandal",2.5,3,2.5,2.3,2.3
"Farsund",2.3,2.4,2.2,1.9,1.5
"Flekkefjord",2.2,2.7,2.2,1.9,2
"Vennesla",3,2.7,2.1,2.8,2.9
"Songdalen",2.7,2.8,2.6,3,3.1
"Søgne",1.8,1.9,2,1.9,2.3
"Marnardal",3.2,2.7,2.6,2.7,2.8
"Åseral",0.6,0.6,1.8,1.7,1.6
"Audnedal",2.5,3.3,2.1,1.8,1.7
"Lindesnes",2.2,3.5,2.3,2.3,2.2
"Lyngdal",2.9,3,2.1,2,2.1
"Hægebostad",2,2.3,1.6,1.8,2.4
"Kvinesdal",3.1,2.6,2.6,2.3,1.9
"Sirdal",1.8,2.1,2.3,0.9,0.6
"Eigersund",2,2.5,1.8,1.5,1.7
"Sandnes",1.8,2.1,1.8,1.5,1.6
"Stavanger",1.7,2,1.6,1.3,1.3
"Haugesund",3.1,3.4,3.4,2.8,2.3
"Sokndal",1.3,2.1,2.1,1.5,1.6
"Lund",2.4,1.8,1.6,1.8,1.5
"Bjerkreim",0.7,1.8,0.5,0.5,0.7
"Hå",1.5,1.9,1.8,1.7,2
"Klepp",1.7,1.9,1.6,1.3,1.7
"Time",1.3,1.9,1.3,1.3,1.4
"Gjesdal",1.8,2.1,1.7,1.3,1.7
"Sola",1.8,1.8,1.5,1.2,1.3
"Randaberg",1.2,1.8,1.2,1.3,1.5
"Forsand",0,1.4,1.4,1.3,1.7
"Strand",2.2,2.3,1.6,1.6,2.1
"Hjelmeland",1.2,0.8,0.8,1.3,1.2
"Suldal",0.7,0.7,1,0.9,1
"Sauda",1.8,1.7,1.3,1.6,1.3
"Finnøy",0.7,1,0.5,1.2,0.7
"Rennesøy",0.9,1.3,0.8,0.6,1
"Kvitsøy",1,0,0,1,2.2
"Bokn",1.5,1.4,0.7,1.3,0.6
"Tysvær",1.5,1.5,1.7,1.8,1.5
"Karmøy",2.5,2.9,2.5,2.2,2.4
"Utsira",0,0,2.5,0,0
"Vindafjord",1.2,2.1,1.4,1.9,2.3
"Bergen",2.2,2.3,2.1,1.7,1.8
"Etne",1.4,2.2,1.1,1.7,1.6
"Sveio",1.9,1.6,2.1,2,1.3
"Bømlo",1.4,2.2,2,2,1.6
"Stord",1.9,3.3,2.9,2.8,2
"Fitjar",1.8,1.6,1.6,1.8,2
"Tysnes",1.4,1.9,2,2,1.4
"Kvinnherad",2.3,2.9,2.5,2.3,2.2
"Jondal",1.1,0.6,0.5,2.2,1.5
"Odda",3.5,2.2,1.8,1.8,2.2
"Ullensvang",1.9,1.6,1.7,1.2,0.9
"Eidfjord",0.6,1.1,1.1,1.1,2.2
"Ulvik",1.7,2.7,2.7,2.6,2.7
"Granvin",1,1,1.5,1.6,1.1
"Voss",1.9,1.3,1.3,1.4,1.2
"Kvam",1.7,2.3,1.7,1.8,1.6
"Fusa",1.7,2.4,2.1,1.6,1.6
"Samnanger",3,2.8,2.1,2.1,1.6
"Os (Hordaland)",2.5,2.5,2.3,2,2
"Austevoll",1.1,1.3,1,1.1,1.9
"Sund",2.8,2.7,2.2,2.4,2.4
"Fjell",2.8,2.6,2.4,2.1,2.2
"Askøy",2.5,2.3,2.1,1.9,1.8
"Vaksdal",2.1,2.4,2.3,1.3,1.4
"Modalen",1.3,1.3,1.3,1.4,3.2
"Osterøy",2.1,2.5,1.8,1.7,2.1
"Meland",2.1,2.2,2.3,2.6,2.5
"Øygarden",3.1,2.3,2.5,3.2,2.9
"Radøy",1.8,2.4,2.6,1.9,2.6
"Lindås",2,2.5,2.1,2.1,2.1
"Austrheim",1.9,2.4,2.2,1.8,2.8
"Fedje",2.1,2.2,1.1,1.1,1.1
"Masfjorden",1.6,1.3,1.2,0.6,0.9
"Flora",2.1,2.8,2,1.8,1.9
"Gulen",0.7,1.1,1.1,0.9,0.5
"Solund",0.7,3.5,2.8,1.4,1.6
"Hyllestad",2.1,3,0.9,0.9,0.9
"Høyanger",5.4,3.4,2.2,1.5,2.2
"Vik",1.5,1,1,1,1
"Balestrand",1.2,1.1,1.2,0.8,0.8
"Leikanger",1,0.7,1,1.2,1.2
"Sogndal",1.4,1.4,1.2,1.1,1.1
"Aurland",1.3,1.9,1.8,3,2.1
"Lærdal",1.1,1,1.7,1.2,1.2
"Årdal",1.4,1.9,1.9,3.4,3.2
"Luster",1.2,1.4,1.7,1.7,1.3
"Askvoll",1.5,1.5,1.1,1.1,1
"Fjaler",0.9,0.9,0.4,0.5,0.5
"Gaular",0.9,1.1,0.7,1.3,1.1
"Jølster",0.9,1.1,1.4,0.9,1
"Førde",1.5,1.7,1.5,1.3,1.6
"Naustdal",1.5,2.5,1.3,1.5,1
"Bremanger",3,2.6,2.4,2.5,2.6
"Vågsøy",1.8,2.2,2.1,2.3,3
"Selje",2.1,1.8,1.7,1.5,2.3
"Eid",1.4,1.4,1.3,1.4,0.9
"Hornindal",0.8,1.7,0.4,0.4,0.4
"Gloppen",1.2,1.2,1.2,1,0.9
"Stryn",1.5,2.2,1.9,1.8,2.5
"Molde",1.9,2,1.8,1.6,1.7
"Ålesund",2,2.2,1.8,1.7,2
"Kristiansund",3.4,3,3,2.6,2.7
"Vanylven",1.3,1.4,1.2,1.4,1.4
"Sande (Møre og Romsdal)",1.6,1.8,1.5,2,1.9
"Herøy (Møre og Romsdal)",1.8,2.2,2.4,2.2,2.5
"Ulstein",1,1.5,1.2,1.5,1.6
"Hareid",3.5,3.2,2.8,2.6,2
"Volda",1.5,1.8,1.5,1.3,1.3
"Ørsta",2.6,2.4,2.3,2.2,2.2
"Ørskog",1.3,1.3,2.3,3.1,3.1
"Norddal",1.3,1.3,0.7,0.7,1
"Stranda",1.9,1.5,1.2,1.4,2.1
"Stordal",2.4,2.3,2.3,1.2,2.3
"Sykkylven",2.6,1.9,1.7,1.5,1.9
"Skodje",1.7,1.8,2.1,1.8,1.7
"Sula",2.1,1.9,1.9,1.6,1.3
"Giske",1.4,1.6,1.6,1.4,1.5
"Haram",1.6,2.4,2.1,1.8,1.8
"Vestnes",1.7,3,2.3,1.6,1.6
"Rauma",3.1,3.4,2.9,2.1,2.5
"Nesset",2.8,2.4,2.4,1.9,2.1
"Midsund",1.6,2,2.3,1.8,1.8
"Sandøy",1,1,1.5,0.5,1
"Aukra",1.7,2.1,1.8,1.3,1.8
"Fræna",2.5,2.7,2.7,2.3,2.7
"Eide",2,2,2.1,2.5,2.3
"Averøy",2.7,1.9,2,1.6,2.1
"Gjemnes",1.5,1.6,0.9,1.4,1.2
"Tingvoll",2.1,2.6,2.1,1.9,1.3
"Sunndal",2.6,2.8,2.8,3,2.2
"Surnadal",1.7,2,1.7,1.8,1.7
"Rindal",1.2,0.8,1,1,0.8
"Halsa",2.3,1.9,2.7,2,1.3
"Smøla",2.3,3.4,2.9,2.5,2.3
"Aure",2.5,2.2,2.3,1.4,1.3
"Trondheim",2.7,2.7,2.2,1.8,1.8
"Hemne",4.2,3,2.6,2.5,2.8
"Snillfjord",1.2,1.8,1.2,0.6,1.2
"Hitra",2.5,2.5,2.5,2.2,2.5
"Frøya",2.2,2.9,3.1,2.2,1.8
"Ørland",4.2,4.3,3.5,3,2.4
"Agdenes",2.2,2.7,2.1,1.9,2.2
"Rissa",2.6,3.5,3.3,2.1,1.8
"Bjugn",3.3,3.6,3.5,2.5,1.9
"Åfjord",1.1,2.1,1.9,1.4,1.4
"Roan",2.4,1.8,1.1,1.1,1.7
"Osen",2,3.8,3.3,1.3,1.3
"Oppdal",2,1.8,2,1.5,1.8
"Rennebu",2.1,1.6,1.4,2.1,2.2
"Meldal",3.2,3.9,3.4,2,2.2
"Orkdal",3.7,3.2,2.7,2.5,2.4
